# nP: 100
# k: 9800
# h: 6
Particle num,x,y,vx,vy,ay,cellRow,cellCol,time(s)
91,424.375916,212.376862,21.714596,-15.570702,-9.800000,,1,2, 33.000069
92,724.513184,297.073730,-23.571154,-9.533037,-9.800000,,1,4, 33.000069
93,744.698303,321.811279,7.447174,-24.256271,-9.800000,,2,4, 33.000069
94,261.783905,485.607574,4.575109,-2.454359,-9.800000,,3,1, 33.000069
95,234.771255,56.328236,24.979427,-25.620304,-9.800000,,0,1, 33.000069
96,786.470886,750.138184,-9.564077,-18.497833,-9.800000,,4,4, 33.000069
97,785.949402,223.835220,17.098623,-21.300652,-9.800000,,1,4, 33.000069
98,283.378571,522.790283,11.489435,-5.797503,-9.800000,,3,1, 33.000069
99,305.515717,700.164673,3.827910,-46.469761,-9.800000,,4,1, 33.000069
100,454.925873,334.089478,14.047782,-27.658031,-9.800000,,2,2, 33.000069
1,161.908127,366.977112,16.412037,-12.625601,-9.800000,,2,1, 34.000053
2,776.957336,261.141571,29.065237,-16.794851,-9.800000,,1,4, 34.000053
3,673.666077,38.117622,16.002256,-20.395721,-9.800000,,0,4, 34.000053
4,482.041626,637.992371,9.684886,-20.922001,-9.800000,,3,3, 34.000053
5,92.304489,634.767944,17.111004,-29.538216,-9.800000,,3,0, 34.000053
6,272.750732,245.164841,23.420265,-7.682012,-9.800000,,1,1, 34.000053
7,313.700470,611.757629,6.746567,-9.701923,-9.800000,,3,1, 34.000053
8,716.561096,281.171722,4.167967,-12.463924,-9.800000,,1,4, 34.000053
9,208.864807,148.407440,6.021646,-31.920389,-9.800000,,0,1, 34.000053
10,464.306976,421.458405,5.465522,-10.284637,-9.800000,,2,2, 34.000053
11,218.683350,118.766769,24.348248,-28.147326,-9.800000,,0,1, 34.000053
12,329.980225,701.900269,5.648931,-19.924023,-9.800000,,4,2, 34.000053
13,420.911957,545.713562,17.787077,-27.868120,-9.800000,,3,2, 34.000053
14,538.558228,210.971420,20.133953,-16.370262,-9.800000,,1,3, 34.000053
15,533.807251,501.315948,24.418400,-21.082565,-9.800000,,3,3, 34.000053
16,677.513428,159.934250,5.595365,-16.827707,-9.800000,,0,4, 34.000053
17,413.893524,500.098114,29.667240,-10.212912,-9.800000,,3,2, 34.000053
18,391.846588,762.404480,21.733681,-6.064471,-9.800000,,4,2, 34.000053
19,332.668030,70.671761,26.969303,-19.091459,-9.800000,,0,2, 34.000053
20,741.617920,558.315125,-22.679741,-15.148540,-9.800000,,3,4, 34.000053
21,70.240654,89.517159,6.825971,-30.022598,-9.800000,,0,0, 34.000053
22,710.408936,465.103760,26.421293,-24.781961,-9.800000,,2,4, 34.000053
23,492.674286,159.024353,7.127142,-24.462217,-9.800000,,0,3, 34.000053
24,598.791199,160.843658,6.441607,-27.706049,-9.800000,,1,3, 34.000053
25,195.693604,495.933380,1.159946,-22.624964,-9.800000,,3,1, 34.000053
26,327.137726,121.771660,17.632484,-11.647951,-9.800000,,0,2, 34.000053
27,193.508026,537.303589,24.189581,-7.859174,-9.800000,,3,1, 34.000053
28,574.037659,487.103760,22.417158,-21.439272,-9.800000,,3,3, 34.000053
29,72.438309,428.239380,11.499847,-7.626660,-9.800000,,2,0, 34.000053
30,336.313080,144.936584,14.116939,-20.647020,-9.800000,,0,2, 34.000053
31,304.245850,648.945740,26.701206,-18.209299,-9.800000,,4,1, 34.000053
32,373.742310,187.207077,8.599055,-7.376033,-9.800000,,1,2, 34.000053
33,632.923767,37.816181,1.141372,-11.660885,-9.800000,,0,3, 34.000053
34,628.052490,129.660156,10.047925,-20.973867,-9.800000,,0,3, 34.000053
35,297.772766,254.063690,11.681270,-20.898426,-9.800000,,1,1, 34.000053
36,485.250885,681.360352,2.301521,-22.284332,-9.800000,,4,3, 34.000053
37,169.677887,196.178940,12.265419,-16.065647,-9.800000,,1,1, 34.000053
38,45.375084,255.598526,9.672453,-6.582089,-9.800000,,1,0, 34.000053
